Año,Departamento,"Tasa de mortalidad por causas externas por 100,000 habitantes",Número de fallecidos en accidentes de tránsito,Número de denuncias de violencia intrafamiliar,Número de homicidios por departamento,Porcentaje de niños con bajo peso al nacer,"Tasa de mortalidad por diarrea (A09) por cada 100,000 habitantes","Tasa bruta de mortalidad por cada 1,000 habitantes","Tasa de mortalidad por diabetes mellitus (E10-E14) por cada 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema circulatorio (I00-I99) por 100,000 habitantes","Tasa de mortalidad por enfermedades del sistema respiratorio (J00-J99) por cada 10,000 habitantes",0,,,,,,,,,,,,,,,,,
2020,El Progreso,70.5,52,889,37,11.5,5.4,6.8,89.4,178.6,4.5,,,,,,,,,,,,,,,,,,
2020,Sacatepéquez,41.7,45,"1,381",21,14.9,3.0,5.8,81.3,96.1,3.3,,,,,,,,,,,,,,,,,,
2020,Chimaltenango,44.8,67,"1,868",58,15.4,3.9,4.6,50.4,85.0,4.0,,,,,,,,,,,,,,,,,,
2020,Escuintla,86.8,156,"1,191",307,10.4,3.6,7.3,87.7,124.1,3.5,,,,,,,,,,,,,,,,,,
2020,Santa Rosa,71.7,69,"1,208",97,12.4,1.8,5.9,56.8,116.2,3.0,,,,,,,,,,,,,,,,,,
2020,Sololá,46.9,15,525,22,13.6,16.6,5.2,59.4,71.2,3.6,,,,,,,,,,,,,,,,,,
2020,Totonicapán,50.7,14,454,8,16.3,15.1,6.5,66.2,60.8,2.4,,,,,,,,,,,,,,,,,,
2020,Quetzaltenango,62.9,60,"1,698",101,14.8,3.5,6.8,84.0,118.9,3.3,,,,,,,,,,,,,,,,,,
2020,Suchitepéquez,47.5,43,"1,815",42,8.1,2.4,6.7,48.7,49.5,1.9,,,,,,,,,,,,,,,,,,
2020,Retalhuleu,58.7,49,"1,525",52,8.8,3.5,6.6,38.9,42.5,2.3,,,,,,,,,,,,,,,,,,
2020,San Marcos,42.8,40,"1,698",60,12.4,12.5,5.2,49.6,98.5,5.3,,,,,,,,,,,,,,,,,,
2020,Huehuetenango,35.5,29,834,45,10.9,15.5,3.8,40.3,84.2,3.7,,,,,,,,,,,,,,,,,,
2020,Quiché,41.3,34,363,17,11.4,12.6,4.3,44.5,51.9,3.5,,,,,,,,,,,,,,,,,,
2020,Baja Verapaz,45.9,26,912,13,13.6,9.2,4.7,43.4,118.3,3.6,,,,,,,,,,,,,,,,,,
2020,Alta Verapaz,37.3,73,"3,881",52,10.3,53.1,3.8,27.8,61.1,4.4,,,,,,,,,,,,,,,,,,
2020,Petén,58.4,85,794,141,8.9,5.8,4.1,52.3,66.7,2.6,,,,,,,,,,,,,,,,,,
2020,Izabal,87.7,102,678,195,9.3,10.1,6.1,48.8,145.2,3.6,,,,,,,,,,,,,,,,,,
2020,Zacapa,79.4,49,867,94,15.4,2.9,6.5,62.6,186.1,3.5,,,,,,,,,,,,,,,,,,
2020,Chiquimula,76.9,31,576,169,15.4,3.6,5.0,41.6,125.6,4.3,,,,,,,,,,,,,,,,,,
2020,Jalapa,66.0,31,357,104,15.9,8.0,4.6,26.9,77.9,3.3,,,,,,,,,,,,,,,,,,
2020,Jutiapa,62.6,53,"1,327",107,11.7,1.0,5.8,62.5,184.0,2.5,,,,,,,,,,,,,,,,,,
2019,Guatemala,86.7,400," 5,462 ","1,468",14.3,4.9,6.0,56.8,92.8,5.3,,,,,,,,,,,,,,,,,,
2019,El Progreso,90.9,39," 1,069 ",42,14.2,6.1,6.5,61.1,165.7,6.9,,,,,,,,,,,,,,,,,,
2019,Sacatepéquez,61.6,67," 1,308 ",56,17.7,2.0,5.2,60.3,84.4,4.6,,,,,,,,,,,,,,,,,,
2019,Chimaltenango,50.2,64," 1,756 ",88,16.6,8.9,4.6,37.2,71.4,7.9,,,,,,,,,,,,,,,,,,
2019,Escuintla,110.5,190," 1,313 ",414,10.6,3.2,6.5,63.4,92.5,5.1,,,,,,,,,,,,,,,,,,
2019,Santa Rosa,76.5,78," 1,281 ",95,13.3,2.7,5.4,35.3,101.6,4.8,,,,,,,,,,,,,,,,,,
2019,Sololá,53.8,73, 519 ,13,13.7,20.5,4.3,37.1,49.6,7.4,,,,,,,,,,,,,,,,,,
2019,Totonicapán,66.5,21, 427 ,11,19.1,23.2,5.7,44.7,37.4,4.7,,,,,,,,,,,,,,,,,,
2019,Quetzaltenango,65.5,71," 2,017 ",119,16.2,7.3,5.9,54.3,92.9,5.4,,,,,,,,,,,,,,,,,,
2019,Suchitepéquez,59.8,52," 2,029 ",55,9.5,2.6,6.0,30.9,44.5,2.9,,,,,,,,,,,,,,,,,,
2019,Retalhuleu,65.3,33," 1,805 ",51,8.1,6.4,5.7,34.8,33.9,2.1,,,,,,,,,,,,,,,,,,
2019,San Marcos,46.8,48," 1,746 ",94,14.0,17.1,4.7,30.3,80.4,7.8,,,,,,,,,,,,,,,,,,
2019,Huehuetenango,38.5,53, 918 ,35,11.8,17.1,3.5,26.0,69.5,5.6,,,,,,,,,,,,,,,,,,
2019,Quiché,44.4,20, 607 ,25,12.2,17.3,4.1,29.9,43.7,4.7,,,,,,,,,,,,,,,,,,
2019,Baja Verapaz,52.7,29, 833 ,20,13.9,15.9,4.9,26.3,107.2,7.2,,,,,,,,,,,,,,,,,,
2019,Alta Verapaz,42.4,102," 4,379 ",66,12.2,44.7,4.2,27.1,54.3,8.2,,,,,,,,,,,,,,,,,,
2019,Petén,79.9,93, 827 ,165,9.6,10.4,4.0,34.4,58.6,3.8,,,,,,,,,,,,,,,,,,
2019,Izabal,91.5,123, 709 ,184,10.5,19.0,5.5,34.2,105.0,5.1,,,,,,,,,,,,,,,,,,
2019,Zacapa,113.1,66, 775 ,155,14.4,3.5,6.4,51.9,181.8,5.2,,,,,,,,,,,,,,,,,,
2019,Chiquimula,79.0,50, 540 ,172,18.1,7.2,5.3,39.0,134.3,6.7,,,,,,,,,,,,,,,,,,
2019,Jalapa,75.1,18, 383 ,123,18.4,12.5,5.0,26.3,74.0,5.3,,,,,,,,,,,,,,,,,,
2019,Jutiapa,74.6,67," 1,161 ",127,13.1,2.9,5.6,51.5,165.3,4.6,,,,,,,,,,,,,,,,,,
